name,address,contact_office,contact_name,contact_phone,contact_email,contact_url,contact_source,contact_last_verified
강원대학교,강원특별자치도 춘천시 강원대학길 1,대학일자리플러스센터,,033-250-7462,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
경상국립대학교,경상남도 진주시 진주대로 501,대학일자리플러스센터,,055-772-0565,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
국립군산대학교,전북특별자치도 군산시 대학로 558,대학일자리플러스센터,,063-469-1919,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
국립금오공과대학교,경상북도 구미시 대학로 61,대학일자리플러스센터,,054-478-7981,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
국립목포대학교,전라남도 무안군 청계면 영산로 1666,대학일자리플러스센터,,061-450-2947,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
국립부경대학교,부산광역시 남구 용소로 45,대학일자리플러스센터,,051-629-6752,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
부산대학교,부산광역시 금정구 부산대학로63번길 2,취업전략과,,051-510-1283,jobmail@pusan.ac.kr,https://job.pusan.ac.kr/,https://job.pusan.ac.kr/ko/strategy/contact,2026-05-12
서울대학교,서울특별시 관악구 관악로 1,경력개발센터 (Career Development Center),,02-880-1359,snucareer@snu.ac.kr,https://career.snu.ac.kr/,https://career.snu.ac.kr/en/etc/contact,2026-05-12
국립순천대학교,전라남도 순천시 중앙로 255,대학일자리플러스센터,,061-750-3171,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
국립경국대학교,경상북도 안동시 경동로 1375,대학일자리플러스센터,,054-820-7075,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
전남대학교,광주광역시 북구 용봉로 45,대학일자리플러스센터,,062-530-4135,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
제주대학교,제주특별자치도 제주시 제주대학로 102,대학일자리플러스센터,,064-754-2307,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
국립창원대학교,경상남도 창원시 의창구 창원대학로 20,대학일자리플러스센터,,055-213-2613,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
충남대학교,대전광역시 유성구 대학로 99,대학일자리플러스센터,,042-821-5247,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
국립한국교통대학교,충청북도 충주시 대소원면 대학로 50,대학일자리플러스센터,,043-849-1451,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
서울과학기술대학교,서울특별시 노원구 공릉로 232,대학일자리플러스센터,,02-970-9285,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
한경국립대학교,경기도 안성시 중앙로 327,대학일자리플러스센터,,031-8046-4132,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
국립한밭대학교,대전광역시 유성구 동서대로 125,대학일자리플러스센터,,042-821-1807,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
서울시립대학교,서울특별시 동대문구 서울시립대로 163,대학일자리플러스센터,,02-6490-6266,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
강남대학교,경기도 용인시 기흥구 강남로 40,대학일자리플러스센터,,031-280-3435,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
건국대학교,서울특별시 광진구 능동로 120,대학일자리플러스센터,,02-450-3823,,,https://www.data.go.kr/data/15118836/fileData.do,2025-09-01
