name,address,src_lat,src_lon,kakao_lat,kakao_lon,diff_km,status,detail
국립국악고등학교,서울특별시 강남구 개포로22길 65,37.4757379,127.0511061,37.4762397420077,127.051213825746,0.057,match,
서울대학교사범대학부설고등학교,서울특별시 성북구 월곡로 6,37.5968694,127.0379052,37.5947007712696,127.038143027214,0.242,match,
국립전통예술고등학교,서울특별시 금천구 시흥대로38길 62,37.4460087,126.906605,37.4463710473917,126.906462134788,0.042,match,
가락고등학교,서울특별시 송파구 송이로 42,37.4875701,127.132157,37.5010563298142,127.116425801136,2.043,mismatch,
강동고등학교,서울특별시 강동구 구천면로 572,37.5469479,127.1339475,37.5499166487971,127.160668324892,2.379,mismatch,
강서고등학교,서울특별시 양천구 목동중앙남로 27,37.536826,126.866562,37.5363155693554,126.865771125825,0.09,match,
개포고등학교,서울특별시 강남구 개포로 402,37.484974,127.0592235,37.4850425995284,127.059305485497,0.011,match,
건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120,37.5437621,127.0764869,37.539182674872,127.074711902268,0.533,minor,
경기고등학교,서울특별시 강남구 영동대로 643,37.5165287,127.0561144,37.517564539911,127.056075505663,0.115,match,
경기여자고등학교,서울특별시 강남구 삼성로 29,37.487175,127.065613,37.4869545236322,127.06612364407,0.051,match,
경동고등학교,서울특별시 성북구 보문로29길 49,37.5867727,127.0136032,37.5859418116443,127.01457927632,0.126,match,
경문고등학교,서울특별시 동작구 동작대로 171,37.4924766,126.9816861,37.4934188575707,126.982273400501,0.117,match,
경복고등학교,서울특별시 종로구 자하문로28가길 9,37.5868704,126.9715432,37.585945671102,126.971510913077,0.103,match,
경복여자고등학교,서울특별시 강서구 화곡로63길 40,37.5583049,126.8511926,37.5578218303652,126.850595718037,0.075,match,
경성고등학교,서울특별시 마포구 성미산로 111,37.5628071,126.9265085,37.563510635781,126.919166278819,0.652,minor,
경신고등학교,서울특별시 종로구 혜화로 74,37.5895885,126.9990155,37.5922022663657,126.999531005507,0.294,match,
경인고등학교,서울특별시 구로구 경인로46길 31,37.4962728,126.8650793,37.4959926823743,126.86542887783,0.044,match,
경희고등학교,서울특별시 동대문구 경희대로 26,37.5971213,127.0519867,37.5939491407769,127.054890960564,0.436,minor,
경희여자고등학교,서울특별시 동대문구 경희대로 26,37.5971213,127.0519867,37.5939491407769,127.054890960564,0.436,minor,
계성고등학교,서울특별시 성북구 길음로 63,37.6075246,127.0203671,37.6075324963563,127.020335456853,0.003,match,
고려대학교사범대학부속고등학교,서울특별시 성북구 정릉로 161,37.6095901,127.0013146,37.6080476933587,127.002616144531,0.206,match,
고척고등학교,서울특별시 구로구 중앙로15길 162,37.506587,126.8557272,37.5080493827144,126.849869103403,0.542,minor,
공항고등학교,서울특별시 강서구 방화대로34길 43,37.5699567,126.8189161,37.5704610944881,126.81851983357,0.066,match,
관악고등학교,서울특별시 영등포구 영등포로6길 26,37.5219571,126.8840827,37.5217916605406,126.88292354628,0.104,match,
광남고등학교,서울 광진구 아차산로70길 17-16,37.5410509,127.1004668,37.541514723184,127.101213923003,0.084,match,
광문고등학교,서울특별시 강동구 동남로 968,37.5432983,127.1544955,37.5604616297792,127.158546528744,1.942,mismatch,
광성고등학교,서울특별시 마포구 신수로8길 20,37.5485862,126.9368279,37.5486975552073,126.935969575594,0.077,match,
광신고등학교,서울특별시 관악구 광신길 141,37.4642078,126.924728,37.4644762024804,126.925940565455,0.111,match,
광양고등학교,서울특별시 광진구 자양로3가길 31,37.5291784,127.0846142,37.529378916523,127.085182284683,0.055,match,
광영고등학교,서울특별시 양천구 남부순환로30길 17,37.5387359,126.8251642,37.5371981027922,126.823275879439,0.239,match,
광영여자고등학교,서울특별시 양천구 남부순환로30길 17,37.5387359,126.8251642,37.5371981027922,126.823275879439,0.239,match,
구로고등학교,서울특별시 구로구 가마산로27길 45,37.4987021,126.8907155,37.4988400846064,126.890309191986,0.039,match,
구일고등학교,서울특별시 구로구 구일로 90-51,37.493954,126.8739432,37.4935052933826,126.874618469825,0.078,match,
압구정고등학교,서울특별시 강남구 압구정로39길 20,37.5310592,127.0322974,37.5311339475008,127.032711640733,0.037,match,
금옥여자고등학교,서울특별시 양천구 신정로 213,37.5115553,126.8538609,37.5109653172242,126.843971681779,0.875,minor,
금천고등학교,서울특별시 금천구 시흥대로38길 26,37.4447895,126.9056719,37.4448950223082,126.904901769267,0.069,match,
남강고등학교,서울특별시 관악구 난곡로34길 80,37.4724219,126.924604,37.4713756726623,126.924909105757,0.119,match,
노원고등학교,서울특별시 노원구 노원로 586,37.6249131,127.0862232,37.6618031933787,127.054019473757,4.987,mismatch,
단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21,37.4955653,127.0576741,37.4956174948977,127.057768228297,0.01,match,
당곡고등학교,서울특별시 관악구 봉천로21길 108,37.4897021,126.9342798,37.4917603442825,126.934246405052,0.229,match,
대광고등학교,서울특별시 동대문구 안암로 6,37.5776731,127.0244014,37.5779549391135,127.025328234604,0.087,match,
대성고등학교,서울특별시 은평구 갈현로29길 51-24,37.6191646,126.9146135,37.6231422778381,126.909790703133,0.613,minor,
대신고등학교,서울특별시 종로구 사직로 9,37.5756645,126.9706482,37.573123769216,126.96125454884,0.875,minor,
대영고등학교,서울특별시 영등포구 도림로86길 16,37.5036677,126.9051767,37.5036530645899,126.905518076656,0.03,match,
대원고등학교,서울특별시 광진구 용마산로22길 26,37.5638447,127.0894276,37.5624502219725,127.089376716312,0.155,match,
대원여자고등학교,서울특별시 광진구 용마산로22길 26,37.5638447,127.0894276,37.5624502219725,127.089376716312,0.155,match,
대일고등학교,서울특별시 강서구 등촌로35길 90,37.5396704,126.8630226,37.5395861200876,126.862569926977,0.041,match,
대진고등학교,서울특별시 노원구 공릉로62가길 47,37.6375975,127.0751285,37.6378068538477,127.076090022542,0.088,match,
대진여자고등학교,서울특별시 노원구 공릉로 438,37.6357269,127.0706279,37.6461248249441,127.06719658578,1.195,mismatch,
대진디자인고등학교,서울특별시 강남구 광평로39길 93,37.489195,127.0987535,37.4904281491372,127.095979339516,0.281,match,
덕성여자고등학교,서울특별시 종로구 율곡로3길 50,37.577991,126.9829716,37.5777608153459,126.983558137257,0.058,match,
덕원여자고등학교,서울특별시 강서구 강서로45길 91-44,37.5494379,126.828448,37.5486225773288,126.829024518952,0.104,match,
독산고등학교,서울특별시 금천구 문성로 64,37.4760972,126.9108025,37.4762187185354,126.910939635513,0.018,match,
동국대학교사범대학부속고등학교,서울특별시 동대문구 장안벚꽃로 201,37.5855936,127.0716082,37.5780471818476,127.075133018965,0.895,minor,
동덕여자고등학교,서울특별시 서초구 효령로2길 123-5,37.4761812,126.9875166,37.4758460567445,126.992615816174,0.452,minor,
동명여자고등학교,서울특별시 은평구 통일로 793,37.6050498,126.9347481,37.6144187859471,126.92282044301,1.48,mismatch,
동북고등학교,서울특별시 강동구 강동대로 305,37.521715,127.1334801,37.5202406144077,127.139450654266,0.551,minor,
동성고등학교,서울특별시 종로구 대학로 156,37.5850668,127.003081,37.5849699592551,127.003097645534,0.011,match,
동일여자고등학교,서울특별시 금천구 탑골로10길 45,37.4519957,126.9166882,37.4519206711218,126.915824008297,0.077,match,
서울매그넷고등학교,서울특별시 금천구 탑골로10길 45,37.4519957,126.9166882,37.4519206711218,126.915824008297,0.077,match,
동작고등학교,서울특별시 동작구 솔밭로 51,37.4820915,126.9651576,37.4826019423842,126.965086250636,0.057,match,
둔촌고등학교,서울특별시 강동구 명일로 140,37.5312042,127.1441557,37.531432583881,127.143808707936,0.04,match,
마포고등학교,서울특별시 강서구 화곡로 403,37.5593774,126.853168,37.5600277060889,126.85286487714,0.077,match,
면목고등학교,서울특별시 중랑구 용마산로72길 36-14,37.5843416,127.0965972,37.5846634085871,127.097270640409,0.069,match,
명덕고등학교,서울특별시 강서구 강서로47길 34-10,37.5538932,126.8354905,37.5538694849081,126.8339773378,0.133,match,
명덕여자고등학교,서울특별시 강서구 강서로47길 34-10,37.5538932,126.8354905,37.5538694849081,126.8339773378,0.133,match,
동국대학교사범대학부속가람고등학교,서울특별시 광진구 광나루로36길 47,37.543256,127.0862807,37.5419210650592,127.086977917618,0.161,match,
명일여자고등학교,서울특별시 강동구 명일로 350,37.5498681,127.151011,37.5497763325665,127.149581506712,0.126,match,
명지고등학교,서울특별시 서대문구 명지2길 56,37.5833806,126.9271848,37.5849113531243,126.927090249447,0.17,match,
무학여자고등학교,서울특별시 성동구 고산자로 197,37.5475182,127.0365547,37.5576263308862,127.033880902274,1.148,mismatch,
서울문영여자고등학교,서울특별시 관악구 관악로 85,37.4738209,126.9512214,37.4729045674501,126.950918062755,0.105,match,
문일고등학교,서울특별시 금천구 시흥대로47길 45,37.4492245,126.8991742,37.4489152569278,126.898720653088,0.053,match,
미림여자고등학교,서울특별시 관악구 호암로 546,37.4666114,126.9324851,37.4661018035835,126.931927855676,0.075,match,
반포고등학교,서울특별시 서초구 고무래로 71,37.5031991,127.0105906,37.5027027335348,127.016510661972,0.525,minor,
배명고등학교,서울특별시 송파구 삼학사로 11,37.4987937,127.0957363,37.4976894981876,127.095811765574,0.123,match,
배문고등학교,서울특별시 용산구 효창원로 258,37.5414226,126.9631615,37.5499187190496,126.963904100329,0.947,minor,
배재고등학교,서울특별시 강동구 고덕로 227,37.5561611,127.1510738,37.5550559824557,127.150160525237,0.147,match,
배화여자고등학교,서울특별시 종로구 필운대로1길 34,37.5785452,126.966875,37.5795440101952,126.967291871532,0.117,match,
보성고등학교,서울특별시 송파구 양재대로 1278,37.4951242,127.1072015,37.5200898870034,127.135729296295,3.747,mismatch,
보성여자고등학교,서울특별시 용산구 신흥로3가길 66,37.5415685,126.9844661,37.5430815444968,126.984284175086,0.169,match,
삼성고등학교,서울특별시 관악구 신림로 41,37.4709222,126.942112,37.469107701859,126.944010788599,0.262,match,
상계고등학교,서울특별시 노원구 노해로 432,37.6543272,127.0619101,37.652724684304,127.055453430868,0.596,minor,
상명대학교사범대학부속여자고등학교,서울특별시 종로구 홍지문2길 20,37.6029659,126.9550092,37.604108905882,126.955159496571,0.128,match,
상명고등학교,서울특별시 노원구 덕릉로 553,37.6711828,127.0823376,37.649540794927,127.067701313205,2.73,mismatch,
