학교명,주소,현재lat,현재lon,kakao_lat,kakao_lon,거리차_km,검증상태
가락고등학교,서울특별시 송파구 송이로 42,37.5010563298142,127.116425801136,37.5010563298142,127.116425801136,0.0,ok
강동고등학교,서울특별시 강동구 구천면로 572,37.5499166487971,127.160668324892,37.5499166487971,127.160668324892,0.0,ok
광문고등학교,서울특별시 강동구 동남로 968,37.5604616297792,127.158546528744,37.5604616297792,127.158546528744,0.0,ok
노원고등학교,서울특별시 노원구 노원로 586,37.6618031933787,127.054019473757,37.6618031933787,127.054019473757,0.0,ok
대진여자고등학교,서울특별시 노원구 공릉로 438,37.6461248249441,127.06719658578,37.6461248249441,127.06719658578,0.0,ok
동명여자고등학교,서울특별시 은평구 통일로 793,37.6144187859471,126.92282044301,37.6144187859471,126.92282044301,0.0,ok
무학여자고등학교,서울특별시 성동구 고산자로 197,37.5576263308862,127.033880902274,37.5576263308862,127.033880902274,0.0,ok
보성고등학교,서울특별시 송파구 양재대로 1278,37.5200898870034,127.135729296295,37.5200898870034,127.135729296295,0.0,ok
상명고등학교,서울특별시 노원구 덕릉로 553,37.649540794927,127.067701313205,37.649540794927,127.067701313205,0.0,ok
서울고등학교,서울특별시 서초구 효령로 197,37.4842930566875,127.004901860862,37.4842930566875,127.004901860862,0.0,ok
서울체육고등학교,서울특별시 송파구 강동대로 232,37.5223303821085,127.129822552593,37.5223303821085,127.129822552593,0.0,ok
세화고등학교,서울특별시 서초구 신반포로 56-7,37.5019964569165,126.994230013893,37.5019964569165,126.994230013893,0.0,ok
세화여자고등학교,서울특별시 서초구 신반포로 56-7,37.5019964569165,126.994230013893,37.5019964569165,126.994230013893,0.0,ok
숙명여자고등학교,서울특별시 강남구 남부순환로 2807,37.4914753613052,127.052612582715,37.4914753613052,127.052612582715,0.0,ok
신광여자고등학교,서울특별시 용산구 청파로 263,37.5428998795519,126.969447523164,37.5428998795519,126.969447523164,0.0,ok
신목고등학교,서울특별시 양천구 안양천로 739,37.512909431854,126.873606945101,37.512909431854,126.873606945101,0.0,ok
영동고등학교,서울특별시 강남구 선릉로 742,37.5213890143821,127.043739258782,37.5213890143821,127.043739258782,0.0,ok
영파여자고등학교,서울특별시 송파구 올림픽로 565,37.5327371486645,127.119740221132,37.5327371486645,127.119740221132,0.0,ok
예일여자고등학교,서울특별시 은평구 연서로 117,37.6109458980893,126.914792838283,37.6109458980893,126.914792838283,0.0,ok
용화여자고등학교,서울특별시 노원구 동일로 1461,37.6591313767305,127.058280693098,37.6591313767305,127.058280693098,0.0,ok
잠신고등학교,서울특별시 송파구 잠실로 24,37.5147012912615,127.08828295987,37.5147012912615,127.08828295987,0.0,ok
중앙대학교사범대학부속고등학교,서울특별시 강남구 선릉로 207,37.4918425685769,127.05169012944,37.4918425685769,127.05169012944,0.0,ok
진명여자고등학교,서울특별시 양천구 목동로 170,37.5240834137562,126.865465205432,37.5240834137562,126.865465205432,0.0,ok
창덕여자고등학교,서울특별시 송파구 양재대로 1240,37.5162747389886,127.140230435212,37.5162747389886,127.140230435212,0.0,ok
청담고등학교,서울특별시 강남구 압구정로 419,37.5279473627751,127.043866627763,37.5279473627751,127.043866627763,0.0,ok
한성과학고등학교,서울특별시 서대문구 통일로 279-79,37.57543616578,126.952370943937,37.57543616578,126.952370943937,0.0,ok
