name,address,격오지,채용난해,중점관리,TO미충원,기타
수원인계DT,경기도 수원시 팔달구 인계로94번길 3 (인계동),N,N,N,N,N
해운대달맞이DT,부산광역시 해운대구 달맞이길 57 (중동) 1~3층,N,N,N,Y,N
수원트레이더스,경기도 수원시 영통구 삼성로 2 트레이더스수원점 (신동),N,N,N,N,N
광주쌍암,광주광역시 광산구 첨단중앙로 158 (쌍암동),N,N,N,Y,N
영남대아트센터,경상북도 경산시 대학로 280 (대동) 영남대학교,N,N,N,N,N
부산중앙역,부산광역시 중구 중앙대로81번길 2 (중앙동4가),N,N,N,N,N
수지성복DT,경기도 용인시 수지구 성복2로 55 (성복동),N,N,N,N,N
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),N,N,N,N,N
대구공평DT,대구광역시 중구 국채보상로 642 (동인동2가),N,N,N,Y,N
대전대덕로,대전광역시 서구 대덕대로234번길 18 (둔산동),N,Y,N,N,N
인천삼산,인천광역시 부평구 길주로 643 (삼산동),N,N,N,N,N
영등포신길,"서울특별시 영등포구 신길로 137 (신길동) 1,2층",N,N,N,Y,N
일산식사,경기도 고양시 일산동구 위시티2로11번길 31 (식사동),N,N,N,N,N
대전목원대,대전광역시 서구 동서대로 682 (도안동),N,N,N,N,N
양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩,N,N,N,N,N
제주용담DT,제주특별자치도 제주시 서해안로 380 (용담삼동) 화이트하우스,N,N,N,N,N
종로수송,서울특별시 종로구 종로5길 30 (청진동) 1~3층,N,N,N,N,N
논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층,N,N,N,N,N
수지동천,경기도 용인시 수지구 손곡로,N,N,N,N,N
사가정역,서울특별시 중랑구 면목로 310,N,N,N,N,N
대전관저,대전광역시 서구 관저로 142 (관저동),N,N,N,Y,N
광명하안,경기도 광명시 범안로 1060 (하안동),N,N,N,N,N
김해대로DT,경상남도 김해시 김해대로 2465,N,N,N,N,N
북촌로,서울특별시 종로구 북촌로4길 23 (계동),N,N,N,N,N
서면전포역,부산광역시 부산진구 전포대로199번길 27 (전포동),N,N,N,Y,N
울산대,울산광역시 남구 대학로84번길 5-3 (무거동),N,N,N,N,N
단대오거리역,경기도 성남시 중원구 산성대로 340-1 (중앙동),N,N,N,N,N
대구상인DT,대구광역시 달서구 월곡로 334 (상인동),N,N,N,Y,N
서소문로,서울특별시 중구 서소문로 120 (서소문동) 대한빌딩,N,N,N,N,N
문래역,서울특별시 영등포구 당산로 34 (문래동3가),N,N,N,N,N
여의도ABL타워,서울특별시 영등포구 의사당대로 147 (여의도동) 알리안츠타워,N,N,N,N,N
대전만년,대전광역시 서구 만년로 81 (만년동),N,N,N,Y,N
부민사거리,부산광역시 서구 구덕로 212 (부민동1가),N,N,N,Y,N
고잔이마트,경기도 안산시 단원구 원포공원1로 46 (초지동) 이마트,N,N,N,N,N
세종첫마을,세종특별자치시  한누리대로 169 행복타워 1층,N,N,N,N,N
목포남악,전라남도 무안군 남악3로82번길 11,N,N,N,N,N
목동7단지,서울특별시 양천구 목동서로 213 (목동) 세신비젼프라자,N,N,N,N,N
광주봉선중앙,광주광역시 남구 봉선중앙로 51 (봉선동),N,N,N,N,N
동래미남DT,부산광역시 동래구 충렬대로 101 (온천동),N,N,N,N,N
평택AK플라자,경기도 평택시 평택로 51 (평택동) 평택역,N,N,N,N,N
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,N,N,N,Y,N
명동길,서울특별시 중구 명동10길 41,N,N,N,N,N
원당DT,경기도 고양시 덕양구 호국로 811 (주교동),N,N,Y,N,N
대구두류DT,대구광역시 달서구 달구벌대로 1798 (두류동),N,N,N,N,N
부산개금역,부산광역시 부산진구 가야대로 462 (개금동),N,N,N,N,N
포항대이,경상북도 포항시 남구 포스코대로 124 (대잠동),N,N,N,N,N
광주황금,광주광역시 동구 중앙로160번길 14 (황금동),N,N,N,N,N
광주신가DT,광주광역시 광산구 목련로 335 (신가동),N,N,N,N,N
중구저동,서울특별시 중구 수표로 34 (저동2가),N,N,N,N,N
천안성정DT,충청남도 천안시 서북구 동서대로 154 (성정동),N,N,N,Y,N
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),N,N,N,Y,N
문정로데오,서울특별시 송파구 동남로 141 (가락동),N,N,N,Y,N
별내,경기도 남양주시 별내중앙로 64 1-2층,N,N,N,N,N
약수역,서울특별시 중구 다산로 129 (신당동),N,N,N,N,N
자양사거리,서울특별시 광진구 아차산로 355,N,N,N,Y,N
대구동천,대구광역시 북구 동천로 123,N,N,N,N,N
동탄센트럴파크,경기도 화성시 동탄지성로 104 센트럴파티오,N,N,N,N,N
인천계양,인천광역시 계양구 장제로 808 (계산동),N,N,N,N,N
대전관평동,대전광역시 유성구 테크노중앙로 68,N,N,N,Y,N
김포이마트,경기도 김포시 김포한강7로 71,Y,N,Y,N,N
오산시청,경기도 오산시 운천로 61,N,N,N,N,N
대전조이마루,대전광역시 유성구 엑스포로 97번길 40,N,N,Y,N,N
석촌서호,서울특별시 송파구 석촌호수로 176 (삼전동),N,N,N,N,N
동여의도,서울특별시 영등포구 국제금융로 86 (여의도동) 롯데캐슬 아이비,N,N,Y,N,N
세종이마트,세종특별자치시 금송로 687(가람동 406) 이마트 세종점,N,N,N,N,N
수원이비스,경기도 수원시 팔달구 권광로 132 (인계동),N,N,N,N,N
울산삼산로,울산광역시 남구 삼산로 278 번길 8 (삼산동),N,Y,N,N,N
대구시지,대구광역시 수성구 달구벌대로 3216 (신매동),N,N,N,Y,N
화곡동,서울특별시 강서구 화곡로 142(화곡동),N,N,N,Y,N
전주한옥마을,전북특별자치도 전주시 완산구 팔달로 123 (전동),N,N,N,N,N
역곡역DT,경기도 부천시 소사구 경인로 485 (괴안동),N,N,N,N,N
천안불당,충청남도 천안시 서북구 불당4로 91 (불당동),N,N,N,N,N
중랑구청,서울특별시 중랑구 신내로 72,N,Y,N,N,N
거제고현,경상남도 거제시 거제중앙로 1936 (고현동),N,Y,N,N,N
상암디지털큐브,서울특별시 마포구 상암산로 34,N,N,N,Y,N
양산터미널,경상남도 양산시 양산역1길 7 (중부동) 양산시외버스터미널,N,N,Y,N,N
제주칠성,제주특별자치도 제주시 관덕로 55 (일도일동),N,N,N,N,N
연희DT,서울특별시 서대문구 연희로 144 (연희동),N,Y,N,N,N
